Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.CheckedTextView - SetTimeTextAMPM""), 0)",,,,11-11-2024 19:11:43,11-11-2024 19:11:45,1.952s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.CheckedTextView - PM""), 0)",,,,11-11-2024 19:11:45,11-11-2024 19:11:46,0.772s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.Button - TimeOK""), 0)",,,,11-11-2024 19:11:46,11-11-2024 19:11:47,1.428s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.TextView - SelectCategory""), 0)",,,,11-11-2024 19:11:47,11-11-2024 19:11:47,0.282s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.CheckedTextView - Personal""), 0)",,,,11-11-2024 19:11:47,11-11-2024 19:11:49,1.455s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.CreateTask""), 0)",,,,11-11-2024 19:11:49,11-11-2024 19:11:49,0.192s,PASSED
"verifyElementText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.TextView - Dashboard TaskTitle""), eTaskTitle)",,,,11-11-2024 19:11:49,11-11-2024 19:11:50,1.121s,PASSED
closeApplication(),,,,11-11-2024 19:11:50,11-11-2024 19:11:52,1.845s,PASSED
,,,,,,,
Test Cases/TC_Edit Task,,,,11-11-2024 19:11:52,11-11-2024 19:13:13,1m - 21.133s,PASSED
"callTestCase(findTestCase(""Block/Create Task""), [""TaskTitle"":TaskTitle, ""Task"":Task, ""TimeHours"":TimeHours, ""TimeMinutes"":TimeMinutes], STOP_ON_FAILURE)",,,,11-11-2024 19:11:52,11-11-2024 19:12:48,55.767s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.ImageButton - TaskOption""), 0)",,,,11-11-2024 19:12:48,11-11-2024 19:12:48,0.171s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.TextView - Edit""), 0)",,,,11-11-2024 19:12:48,11-11-2024 19:12:50,2.388s,PASSED
