Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Delete Task,,,,11-11-2024 16:45:09,11-11-2024 16:49:01,3m - 51.315s,PASSED
,,,,,,,
Test Cases/TS_Delete Task,,,,11-11-2024 16:45:09,11-11-2024 16:46:09,59.710s,PASSED
"callTestCase(findTestCase(""Block/Create Task""), [""TaskTitle"":TaskTitle, ""Task"":Task, ""TimeHours"":TimeHours, ""TimeMinutes"":TimeMinutes], STOP_ON_FAILURE)",,,,11-11-2024 16:45:10,11-11-2024 16:46:05,55.740s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.ImageButton - TaskOption""), 0)",,,,11-11-2024 16:46:05,11-11-2024 16:46:06,0.175s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.TextView - Delete""), 0)",,,,11-11-2024 16:46:06,11-11-2024 16:46:07,1.511s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.Button - DELETE""), 0)",,,,11-11-2024 16:46:07,11-11-2024 16:46:07,0.238s,PASSED
closeApplication(),,,,11-11-2024 16:46:07,11-11-2024 16:46:09,1.930s,PASSED
,,,,,,,
Test Cases/TS_Delete Task,,,,11-11-2024 16:46:09,11-11-2024 16:47:05,56.167s,PASSED
"callTestCase(findTestCase(""Block/Create Task""), [""TaskTitle"":TaskTitle, ""Task"":Task, ""TimeHours"":TimeHours, ""TimeMinutes"":TimeMinutes], STOP_ON_FAILURE)",,,,11-11-2024 16:46:09,11-11-2024 16:47:01,52.062s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.ImageButton - TaskOption""), 0)",,,,11-11-2024 16:47:01,11-11-2024 16:47:01,0.182s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.TextView - Delete""), 0)",,,,11-11-2024 16:47:01,11-11-2024 16:47:03,1.858s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.Button - DELETE""), 0)",,,,11-11-2024 16:47:03,11-11-2024 16:47:04,0.172s,PASSED
closeApplication(),,,,11-11-2024 16:47:04,11-11-2024 16:47:05,1.886s,PASSED
,,,,,,,
Test Cases/TS_Delete Task,,,,11-11-2024 16:47:05,11-11-2024 16:48:02,56.445s,PASSED
"callTestCase(findTestCase(""Block/Create Task""), [""TaskTitle"":TaskTitle, ""Task"":Task, ""TimeHours"":TimeHours, ""TimeMinutes"":TimeMinutes], STOP_ON_FAILURE)",,,,11-11-2024 16:47:05,11-11-2024 16:47:58,52.350s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.ImageButton - TaskOption""), 0)",,,,11-11-2024 16:47:58,11-11-2024 16:47:58,0.193s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.TextView - Delete""), 0)",,,,11-11-2024 16:47:58,11-11-2024 16:48:00,1.773s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.Button - DELETE""), 0)",,,,11-11-2024 16:48:00,11-11-2024 16:48:00,0.162s,PASSED
closeApplication(),,,,11-11-2024 16:48:00,11-11-2024 16:48:02,1.963s,PASSED
,,,,,,,
Test Cases/TS_Delete Task,,,,11-11-2024 16:48:02,11-11-2024 16:49:01,58.781s,PASSED
"callTestCase(findTestCase(""Block/Create Task""), [""TaskTitle"":TaskTitle, ""Task"":Task, ""TimeHours"":TimeHours, ""TimeMinutes"":TimeMinutes], STOP_ON_FAILURE)",,,,11-11-2024 16:48:02,11-11-2024 16:48:57,55.018s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.ImageButton - TaskOption""), 0)",,,,11-11-2024 16:48:57,11-11-2024 16:48:57,0.175s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.TextView - Delete""), 0)",,,,11-11-2024 16:48:57,11-11-2024 16:48:59,1.598s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.Button - DELETE""), 0)",,,,11-11-2024 16:48:59,11-11-2024 16:48:59,0.170s,PASSED
closeApplication(),,,,11-11-2024 16:48:59,11-11-2024 16:49:01,1.815s,PASSED
