Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Edit Task,,,,11-11-2024 17:09:13,11-11-2024 17:14:32,5m - 19.300s,PASSED
,,,,,,,
Test Cases/TC_Edit Task,,,,11-11-2024 17:09:13,11-11-2024 17:10:36,1m - 23.546s,PASSED
"callTestCase(findTestCase(""Block/Create Task""), [""TaskTitle"":TaskTitle, ""Task"":Task, ""TimeHours"":TimeHours, ""TimeMinutes"":TimeMinutes], STOP_ON_FAILURE)",,,,11-11-2024 17:09:13,11-11-2024 17:10:10,57.284s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.ImageButton - TaskOption""), 0)",,,,11-11-2024 17:10:10,11-11-2024 17:10:10,0.188s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.TextView - Edit""), 0)",,,,11-11-2024 17:10:10,11-11-2024 17:10:12,1.970s,PASSED
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter task title""), eTaskTitle, 0)",,,,11-11-2024 17:10:12,11-11-2024 17:10:14,2.064s,PASSED
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter your task""), eTask, 0)",,,,11-11-2024 17:10:14,11-11-2024 17:10:16,1.983s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Set Date""), 0)",,,,11-11-2024 17:10:16,11-11-2024 17:10:18,1.613s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.view.View - Date-16""), 0)",,,,11-11-2024 17:10:18,11-11-2024 17:10:19,1.202s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.Button - DateOK""), 0)",,,,11-11-2024 17:10:19,11-11-2024 17:10:20,0.281s,PASSED
"tap(findTestObject(""TODO/3.Create Task/android.widget.EditText - Set Time""), 0)",,,,11-11-2024 17:10:20,11-11-2024 17:10:20,0.741s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.SetTimeText Button""), 0)",,,,11-11-2024 17:10:20,11-11-2024 17:10:22,2.017s,PASSED
"setText(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.EditText - SetTimeText Hours""), eTimeHours, 0)",,,,11-11-2024 17:10:22,11-11-2024 17:10:24,2.154s,PASSED
