Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Juice/Buying Products/button_Checkout""))",Chrome 130.0.0.0,,,13-11-2024 11:29:39,13-11-2024 11:29:40,0.760s,PASSED
"click(findTestObject(""Juice/Buying Products/span_RadioAddress""))",Chrome 130.0.0.0,,,13-11-2024 11:29:40,13-11-2024 11:29:41,0.664s,PASSED
"click(findTestObject(""Juice/Buying Products/button_navigate_next Continue""))",Chrome 130.0.0.0,,,13-11-2024 11:29:41,13-11-2024 11:29:41,0.447s,PASSED
click(Delivery),Chrome 130.0.0.0,,,13-11-2024 11:29:41,13-11-2024 11:29:42,0.672s,PASSED
select_delivery = Delivery,Chrome 130.0.0.0,,,13-11-2024 11:29:42,13-11-2024 11:29:42,0.000s,PASSED
"click(findTestObject(""Juice/Buying Products/button_navigate_next Continue""))",Chrome 130.0.0.0,,,13-11-2024 11:29:42,13-11-2024 11:29:42,0.483s,PASSED
"click(findTestObject(""Juice/Buying Products/span_RadioPayment""))",Chrome 130.0.0.0,,,13-11-2024 11:29:42,13-11-2024 11:29:43,0.756s,PASSED
"click(findTestObject(""Juice/Buying Products/button_navigate_next Continue""))",Chrome 130.0.0.0,,,13-11-2024 11:29:43,13-11-2024 11:29:44,0.453s,PASSED
"click(findTestObject(""Juice/Buying Products/button_Place your order and pay""))",Chrome 130.0.0.0,,,13-11-2024 11:29:44,13-11-2024 11:29:44,0.786s,PASSED
"verifyElementText(findTestObject(""Juice/Buying Products/h1_Thank you for your purchase""), ""Thank you for your purchase!"")",Chrome 130.0.0.0,,,13-11-2024 11:29:44,13-11-2024 11:29:46,1.187s,PASSED
switch (select_delivery),Chrome 130.0.0.0,,,13-11-2024 11:29:46,13-11-2024 11:29:46,0.000s,PASSED
,,,,,,,
Test Cases/TC_Juice/TC_Buying Products,Chrome 130.0.0.0,,,13-11-2024 11:29:46,13-11-2024 11:30:25,39.654s,PASSED
"callTestCase(findTestCase(""TC_Juice/TC_Create Account""), [""Email"":Email, ""Password"":Password], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:29:46,13-11-2024 11:29:58,12.130s,PASSED
"callTestCase(findTestCase(""TC_Juice/Block/Login""), [""Email"":Email, ""Password"":Password], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:29:58,13-11-2024 11:30:02,3.768s,PASSED
"callTestCase(findTestCase(""TC_Juice/Block/Add Address""), [""Country"":Country, ""Name"":Name, ""MNumber"":MNumber, ""ZCode"":ZCode, ""Address"":Address, ""State"":State, ""City"":City], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:30:02,13-11-2024 11:30:08,6.557s,PASSED
"click(findTestObject(""Juice/Add Payment/Button_Account""))",Chrome 130.0.0.0,,,13-11-2024 11:30:08,13-11-2024 11:30:08,0.244s,PASSED
"callTestCase(findTestCase(""TC_Juice/Block/Add Payment""), [""CCName"":CCName, ""CCNumber"":CCNumber, ""CCMonth"":CCMounth, ""CCYear"":CCYear], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:30:08,13-11-2024 11:30:14,5.428s,PASSED
"click(findTestObject(""Juice/Buying Products/button_OWASP Juice Shop""))",Chrome 130.0.0.0,,,13-11-2024 11:30:14,13-11-2024 11:30:14,0.244s,PASSED
"click(findTestObject(""Juice/Buying Products/Button_Add to Basket""))",Chrome 130.0.0.0,,,13-11-2024 11:30:14,13-11-2024 11:30:15,0.785s,PASSED
"click(findTestObject(""Juice/Buying Products/button_Add to Basket_1""))",Chrome 130.0.0.0,,,13-11-2024 11:30:15,13-11-2024 11:30:17,1.622s,PASSED
"click(findTestObject(""Juice/Buying Products/button_Add to Basket_1_2_3""))",Chrome 130.0.0.0,,,13-11-2024 11:30:17,13-11-2024 11:30:18,1.643s,PASSED
"click(findTestObject(""Juice/Buying Products/button_cart""))",Chrome 130.0.0.0,,,13-11-2024 11:30:18,13-11-2024 11:30:19,1.121s,PASSED
"click(findTestObject(""Juice/Buying Products/button_Checkout""))",Chrome 130.0.0.0,,,13-11-2024 11:30:19,13-11-2024 11:30:20,0.760s,PASSED
"click(findTestObject(""Juice/Buying Products/span_RadioAddress""))",Chrome 130.0.0.0,,,13-11-2024 11:30:20,13-11-2024 11:30:21,0.652s,PASSED
"click(findTestObject(""Juice/Buying Products/button_navigate_next Continue""))",Chrome 130.0.0.0,,,13-11-2024 11:30:21,13-11-2024 11:30:21,0.453s,PASSED
click(Delivery),Chrome 130.0.0.0,,,13-11-2024 11:30:21,13-11-2024 11:30:22,0.666s,PASSED
select_delivery = Delivery,Chrome 130.0.0.0,,,13-11-2024 11:30:22,13-11-2024 11:30:22,0.000s,PASSED
"click(findTestObject(""Juice/Buying Products/button_navigate_next Continue""))",Chrome 130.0.0.0,,,13-11-2024 11:30:22,13-11-2024 11:30:22,0.479s,PASSED
"click(findTestObject(""Juice/Buying Products/span_RadioPayment""))",Chrome 130.0.0.0,,,13-11-2024 11:30:22,13-11-2024 11:30:23,0.661s,PASSED
"click(findTestObject(""Juice/Buying Products/button_navigate_next Continue""))",Chrome 130.0.0.0,,,13-11-2024 11:30:23,13-11-2024 11:30:23,0.456s,PASSED
"click(findTestObject(""Juice/Buying Products/button_Place your order and pay""))",Chrome 130.0.0.0,,,13-11-2024 11:30:23,13-11-2024 11:30:24,0.789s,PASSED
"verifyElementText(findTestObject(""Juice/Buying Products/h1_Thank you for your purchase""), ""Thank you for your purchase!"")",Chrome 130.0.0.0,,,13-11-2024 11:30:24,13-11-2024 11:30:25,1.189s,PASSED
switch (select_delivery),Chrome 130.0.0.0,,,13-11-2024 11:30:25,13-11-2024 11:30:25,0.000s,PASSED
